"ds","y","cap"
"1913-02-01",11.6921208,25.217
"1913-03-01",14.53610969,25.217
"1913-04-01",17.98404872,25.217
"1913-05-01",20.24155242,25.217
"1913-06-01",21.83173561,25.217
"1913-07-01",22.75101823,25.217
"1913-08-01",22.84923533,25.217
"1913-09-01",21.12221681,25.217
"1913-10-01",18.18016296,25.217
"1913-11-01",15.20075157,25.217
"1913-12-01",11.80692821,25.217
"1914-01-01",11.38060855,25.226
"1914-02-01",12.62383362,25.226
"1914-03-01",15.2633886,25.226
"1914-04-01",17.86553732,25.226
"1914-05-01",20.6692604,25.226
"1914-06-01",22.35835185,25.226
"1914-07-01",23.32590997,25.226
"1914-08-01",22.84629687,25.226
"1914-09-01",21.08062165,25.226
"1914-10-01",18.15383704,25.226
"1914-11-01",14.71234245,25.226
"1914-12-01",11.80887066,25.226
"1915-01-01",11.13647578,25.235
"1915-02-01",12.30905783,25.235
"1915-03-01",14.36923561,25.235
"1915-04-01",17.9130849,25.235
"1915-05-01",20.83654701,25.235
"1915-06-01",22.52918034,25.235
"1915-07-01",23.23883219,25.235
"1915-08-01",22.94531652,25.235
"1915-09-01",21.13531197,25.235
"1915-10-01",18.24256353,25.235
"1915-11-01",14.90317066,25.235
"1915-12-01",12.21887236,25.235
"1916-01-01",11.6050416,25.244
"1916-02-01",12.08292678,25.244
"1916-03-01",14.62932422,25.244
"1916-04-01",17.90917607,25.244
"1916-05-01",20.68387464,25.244
"1916-06-01",21.87735613,25.244
"1916-07-01",22.92141197,25.244
"1916-08-01",22.70979915,25.244
"1916-09-01",20.91883761,25.244
"1916-10-01",17.92723675,25.244
"1916-11-01",14.70668348,25.244
"1916-12-01",11.4285453,25.244
"1917-01-01",10.25768405,25.253
"1917-02-01",10.99442251,25.253
"1917-03-01",13.90897066,25.253
"1917-04-01",17.28839487,25.253
"1917-05-01",19.66997949,25.253
"1917-06-01",22.2312812,25.253
"1917-07-01",23.11123305,25.253
"1917-08-01",22.77616638,25.253
"1917-09-01",21.1859755,25.253
"1917-10-01",17.80867892,25.253
"1917-11-01",14.5635943,25.253
"1917-12-01",10.59192137,25.253
"1918-01-01",10.09358889,25.262
"1918-02-01",11.93767692,25.262
"1918-03-01",14.65011368,25.262
